customer_id,name,age_band,tenure_years,state,credit_score,num_products,checking_flag,savings_flag,deposit_balance,relationship_value_estimate
C0100048,Joshua Blair,45-54,12,AZ,721,1,0,0,5249.0,115873.0
C0100049,Eric Carney,25-34,5,WA,694,1,0,0,24466.0,133851.0
C0100050,Jessica Holmes,35-44,1,OH,703,2,1,0,10830.0,152512.0
C0100051,Danny Morgan,25-34,3,NJ,691,3,1,1,69359.0,376060.0
C0100052,Crystal Robinson,55-64,4,IL,668,4,1,1,17980.0,86391.0
C0100053,Mark Perez,45-54,19,NY,781,1,0,0,1529.0,63459.0
C0100054,Shannon Jones,55-64,4,NJ,759,2,1,0,3676.0,108420.0
C0100055,Michael Lewis,55-64,4,OH,707,2,1,0,3893.0,175468.0
C0100056,Timothy Duncan,45-54,17,NY,735,2,1,0,11748.0,164696.0
C0100057,Richard Aguirre,45-54,18,MI,737,2,1,0,5630.0,137824.0
C0100058,Brent Jordan,25-34,5,PA,820,4,1,1,2095.0,26467.0
C0100059,John Daniel,25-34,14,NC,759,2,1,0,16432.0,102408.0
C0100060,Victoria Garcia,45-54,11,IL,757,1,0,0,26907.0,77495.0
C0100061,Gerald Hensley,45-54,12,AZ,721,2,1,0,7163.0,106158.0
C0100062,Connor West,45-54,7,WA,700,1,0,0,10419.0,84405.0
C0100063,Donald Wright,55-64,16,GA,782,4,1,1,2537.0,99130.0
C0100064,Jessica Callahan,45-54,18,NJ,749,4,1,1,4328.0,90271.0
C0100065,Amber Kidd,45-54,15,FL,682,1,0,0,4546.0,107345.0
C0100066,Tracy House,45-54,19,MA,740,2,1,0,15840.0,118877.0
C0100067,Carol Tucker,35-44,3,NY,757,3,1,1,11017.0,68305.0
C0100068,James Brown,25-34,14,AZ,625,2,1,0,5455.0,109706.0
C0100069,William Baker,35-44,20,WA,678,2,1,0,5202.0,68880.0
C0100070,Jordan Henderson,35-44,11,FL,736,4,1,1,764.0,99245.0
C0100071,Whitney Peters,35-44,19,CA,633,1,0,0,55662.0,122528.0
C0100072,Brittney Phillips,55-64,7,VA,640,2,1,0,663.0,15541.0
C0100073,Lauren Daniels,35-44,18,AZ,707,1,0,0,13444.0,455839.0
C0100074,Amy Silva,25-34,19,NJ,742,1,0,0,8478.0,139394.0
C0100075,Sarah Moore,35-44,13,CA,744,3,1,1,5891.0,159766.0
C0100076,Angela Lopez,35-44,15,MI,791,3,1,1,8024.0,90754.0
C0100077,Megan Young,45-54,11,IL,723,2,1,0,3657.0,119921.0
C0100078,Steve Sanchez,45-54,7,AZ,703,1,0,0,17736.0,75715.0
C0100079,Lisa Barnes,55-64,11,WA,661,3,1,1,1675.0,46991.0
C0100080,Kelly Donovan,45-54,20,VA,702,1,0,0,12009.0,56879.0
C0100081,Mike Allen,35-44,1,OH,751,2,1,0,3593.0,66598.0
C0100082,Michael Evans,55-64,5,PA,753,1,0,0,4855.0,84872.0
C0100083,Paul Jones,35-44,10,WA,731,2,1,0,5015.0,230955.0
C0100084,Zachary Ferrell,25-34,7,TX,744,2,1,0,6645.0,60261.0
C0100085,Daniel Baker,25-34,13,TX,777,1,0,0,14803.0,155600.0
C0100086,Shirley Suarez,55-64,8,CA,723,2,1,0,7762.0,18781.0
C0100087,Christopher Bass,45-54,14,GA,781,2,1,0,24824.0,119762.0
C0100088,Lisa Archer,35-44,3,TX,687,2,1,0,28392.0,298322.0
C0100089,Aimee Montoya,45-54,7,NC,716,2,1,0,11737.0,177526.0
C0100090,Matthew Mcmillan,35-44,14,FL,698,3,1,1,18382.0,39457.0
C0100091,Brian Rodriguez,45-54,10,AZ,755,1,0,0,92034.0,122614.0
C0100092,Denise Jacobs,35-44,15,OH,674,1,0,0,1486.0,108059.0
C0100093,Christina Walters,35-44,13,TX,705,1,0,0,29477.0,216325.0
C0100094,John Whitehead,35-44,7,NJ,636,1,0,0,51731.0,102337.0
C0100095,Anna Henderson,45-54,9,IL,746,2,1,0,13635.0,57030.0
C0100096,Aaron Wise,35-44,20,NY,776,1,0,0,79607.0,114769.0
C0100097,Deborah Figueroa,25-34,20,MI,760,1,0,0,68085.0,78976.0
C0100098,Jessica Smith,25-34,1,MA,756,1,0,0,5408.0,44426.0
C0100099,Stephen Mckee,65+,15,MA,757,2,1,0,5928.0,126124.0
C0100100,Sandra Aguilar,65+,10,OH,751,3,1,1,15317.0,122492.0
C0100101,Cameron Parker,45-54,1,WA,747,2,1,0,3832.0,157858.0
C0100102,Rebecca Valencia,35-44,13,NY,750,4,1,1,209707.0,82713.0
C0100103,Christine Wright,65+,1,WA,690,1,0,0,20881.0,100207.0
C0100104,Richard Henson,55-64,7,MA,710,2,1,0,8568.0,51857.0
C0100105,Marc Moore,55-64,14,GA,723,1,0,0,1492.0,78415.0
C0100106,Sharon Cherry,35-44,17,GA,704,3,1,1,10963.0,117066.0
C0100107,Sierra Johnson,35-44,9,NC,649,1,0,0,1953.0,194254.0
C0100108,Evelyn Galvan,25-34,17,TX,664,4,1,1,20169.0,35962.0
C0100109,Sharon Cochran,65+,17,WA,730,3,1,1,402.0,104756.0
C0100110,Richard Rodriguez,45-54,9,VA,760,2,1,0,42637.0,95244.0
C0100111,Shannon Walker,35-44,4,AZ,720,2,1,0,4871.0,122466.0
C0100112,Julia Torres,35-44,14,TX,820,2,1,0,1064.0,104668.0
C0100113,Crystal Johnson,45-54,1,WA,678,1,0,0,7945.0,46003.0
C0100114,Garrett Lin,35-44,18,IL,740,4,1,1,8268.0,102997.0
C0100115,Diana May,55-64,8,WA,778,3,1,1,7501.0,118534.0
C0100116,William Herrera,55-64,16,MA,767,1,0,0,42433.0,98697.0
C0100117,Ashley Waller,55-64,15,AZ,749,1,0,0,12798.0,30686.0
C0100118,Victor Baker,35-44,10,AZ,768,1,0,0,21064.0,44142.0
C0100119,Jeffrey Chandler,45-54,20,TX,722,3,1,1,6012.0,88562.0
C0100120,Larry Dixon,45-54,16,PA,794,2,1,0,13526.0,251446.0
C0100121,Kenneth Scott,45-54,18,PA,777,2,1,0,1685.0,244378.0
C0100122,April Frost,25-34,2,GA,681,1,0,0,11045.0,80035.0
C0100123,Michelle Harmon,35-44,10,MA,734,4,1,1,3262.0,121649.0
C0100124,Helen Jones,25-34,20,NJ,650,1,0,0,39481.0,121439.0
C0100125,Erin Edwards,45-54,17,NC,788,1,0,0,8872.0,76603.0
C0100126,Michelle Evans,35-44,10,WA,730,4,1,1,17952.0,125291.0
C0100127,Jason Powell,25-34,2,FL,780,3,1,1,11101.0,176152.0
C0100128,Cameron Fisher,25-34,6,MI,715,2,1,0,70796.0,139354.0
C0100129,Megan Orr,45-54,12,GA,636,3,1,1,1246.0,38790.0
C0100130,Elizabeth Kelley,35-44,13,NY,820,1,0,0,7069.0,49185.0
C0100131,Dustin Jordan,65+,19,MI,725,1,0,0,2560.0,213043.0
C0100132,Mary Marshall,45-54,2,WA,674,1,0,0,693.0,152585.0
C0100133,Daniel Kennedy,35-44,8,WA,771,1,0,0,2368.0,136411.0
C0100134,Rebecca Jackson,45-54,6,WA,811,3,1,1,33072.0,78610.0
C0100135,Jose Schultz,25-34,20,WA,710,2,1,0,7815.0,81601.0
C0100136,Robert Potter,65+,4,GA,715,2,1,0,6225.0,138107.0
C0100137,Courtney Gonzalez,45-54,5,CA,730,3,1,1,20500.0,106605.0
C0100138,David Alvarez,55-64,6,MA,670,1,0,0,9307.0,325774.0
C0100139,Angel Perry,25-34,3,OH,688,1,0,0,16916.0,90509.0
C0100140,Cheyenne Horton,45-54,13,MI,800,2,1,0,11937.0,32024.0
C0100141,David Douglas Jr.,45-54,11,CA,714,3,1,1,15541.0,40261.0
C0100142,Patricia Rodriguez,65+,12,AZ,682,2,1,0,4724.0,14691.0
C0100143,Christopher Rubio,45-54,19,AZ,699,4,1,1,28467.0,168462.0
C0100144,Amber Wright,45-54,9,AZ,768,3,1,1,1892.0,87261.0
C0100145,Joyce Solis,35-44,7,FL,631,3,1,1,7309.0,47107.0
C0100146,Victoria Larson,35-44,8,WA,731,3,1,1,30221.0,59210.0
C0100147,Stephanie Salazar,45-54,17,MI,820,2,1,0,6735.0,126112.0
C0100148,Kathy Rivas,35-44,11,FL,811,4,1,1,4832.0,127303.0
C0100149,Stephanie Manning,25-34,4,NC,745,2,1,0,126264.0,50913.0
C0100150,David Wright,55-64,14,GA,779,2,1,0,44458.0,220409.0
C0100151,Pamela Boyd,55-64,15,MI,778,1,0,0,9604.0,96778.0
C0100152,Denise Jones,25-34,5,TX,714,3,1,1,2529.0,136175.0
C0100153,Devon Flores,45-54,12,NC,761,2,1,0,705.0,116203.0
C0100154,Brenda Hall,25-34,12,NJ,800,3,1,1,18966.0,124455.0
C0100155,Michelle Brown,45-54,4,NJ,663,4,1,1,37014.0,69550.0
C0100156,Joshua Perry,35-44,1,VA,745,2,1,0,13029.0,117454.0
C0100157,Jason Stein,45-54,15,MI,736,1,0,0,1040.0,122753.0
C0100158,Melissa Gates,55-64,13,NJ,724,1,0,0,9822.0,124058.0
C0100159,Jamie Smith,55-64,15,TX,720,2,1,0,4518.0,121104.0
C0100160,Paul Castaneda,25-34,8,VA,730,2,1,0,9838.0,222365.0
C0100161,Jennifer Adkins,65+,11,IL,734,1,0,0,83459.0,50792.0
C0100162,Lindsey Walker,35-44,20,NC,770,2,1,0,20895.0,179483.0
C0100163,Jeffrey Johnson,25-34,5,NC,741,2,1,0,16176.0,101117.0
C0100164,Michael Powell,45-54,14,MA,711,1,0,0,7674.0,273040.0
C0100165,John Anderson,35-44,3,PA,682,1,0,0,13325.0,57593.0
C0100166,Alyssa Long,55-64,2,IL,698,1,0,0,3403.0,114929.0
C0100167,Alyssa Day,55-64,20,VA,731,3,1,1,15771.0,94832.0
C0100168,Joel Williams,35-44,3,MI,688,1,0,0,6425.0,389135.0
C0100169,Daniel Murphy,65+,14,PA,762,1,0,0,3021.0,140024.0
C0100170,Jamie Walton,35-44,11,IL,739,2,1,0,21547.0,166281.0
C0100171,Darlene Miller,45-54,17,WA,771,2,1,0,557.0,111572.0
C0100172,Joshua Cooke,35-44,11,WA,691,3,1,1,4215.0,177208.0
C0100173,Matthew Harrington,65+,14,FL,682,2,1,0,16915.0,149666.0
C0100174,Nicole Herring,35-44,18,IL,771,2,1,0,35225.0,98420.0
C0100175,Alex Hernandez,25-34,17,VA,725,3,1,1,14272.0,155632.0
C0100176,Michael Elliott,35-44,15,TX,710,3,1,1,3617.0,27382.0
C0100177,Michael Wang,65+,4,FL,751,2,1,0,7623.0,95880.0
C0100178,Lawrence Adkins,55-64,4,FL,749,2,1,0,11493.0,136087.0
C0100179,Robert Oconnell,55-64,10,GA,663,1,0,0,52714.0,159794.0
C0100180,Alexander Collins,55-64,14,OH,782,2,1,0,24458.0,194859.0
C0100181,Tina Sanders,55-64,14,PA,701,3,1,1,24674.0,52794.0
C0100182,Angela Vaughn,45-54,16,FL,796,1,0,0,8765.0,111558.0
C0100183,Ashley Barton,35-44,3,MI,659,1,0,0,2241.0,198661.0
C0100184,Lindsay Martinez,55-64,4,WA,734,2,1,0,1499.0,96707.0
C0100185,Dr. Hannah Patterson,45-54,3,NY,711,4,1,1,5645.0,191326.0
C0100186,Jonathan Peterson,35-44,11,MI,631,1,0,0,18757.0,114619.0
C0100187,Samantha Garcia,25-34,13,VA,749,3,1,1,4437.0,435249.0
C0100188,Madison Poole,55-64,3,NC,633,1,0,0,16101.0,143245.0
C0100189,Jessica Gross,35-44,18,NC,706,3,1,1,3122.0,157041.0
C0100190,Debra Morton,65+,7,FL,769,3,1,1,3757.0,316165.0
C0100191,Karen Graham,35-44,14,MA,696,3,1,1,43897.0,239893.0
C0100192,Debra Christian,25-34,16,MA,679,4,1,1,20338.0,157728.0
C0100193,Angelica Keith,55-64,1,NJ,756,4,1,1,5609.0,85946.0
C0100194,John Bishop,35-44,18,AZ,708,4,1,1,2991.0,112406.0
C0100195,Allen Rosales,35-44,20,MI,701,2,1,0,25303.0,169486.0
C0100196,Daniel Salinas,45-54,20,MI,777,2,1,0,23196.0,285821.0
C0100197,Spencer Haynes,55-64,3,WA,667,1,0,0,17449.0,587195.0
C0100198,Adam Vaughan,35-44,8,CA,699,1,0,0,6546.0,28888.0
C0100199,Nathan Freeman,35-44,5,NY,758,2,1,0,2179.0,195419.0
C0100200,Melissa Brewer,55-64,10,NY,664,1,0,0,7960.0,74476.0
C0100201,Ricky Davis II,65+,20,MI,799,4,1,1,43876.0,129999.0
C0100202,Elizabeth Perkins,45-54,16,NY,710,1,0,0,2722.0,77139.0
C0100203,Joseph Coleman,25-34,16,IL,759,1,0,0,8578.0,251501.0
C0100204,Erin Warner,25-34,9,GA,759,1,0,0,57696.0,153089.0
C0100205,David Martinez,35-44,19,VA,713,1,0,0,5625.0,145555.0
C0100206,Bryan Herrera,25-34,19,GA,698,1,0,0,6954.0,110419.0
C0100207,Cathy Robinson,45-54,17,CA,718,2,1,0,1603.0,42843.0
C0100208,Dr. William Warren,25-34,17,NJ,752,1,0,0,17117.0,60715.0
C0100209,Brian Lee,45-54,14,OH,675,3,1,1,3332.0,99194.0
C0100210,Christopher Smith,45-54,2,TX,665,2,1,0,1254.0,45665.0
C0100211,Denise Mccann,45-54,6,MI,786,3,1,1,2580.0,69305.0
C0100212,Melissa Martinez,35-44,16,PA,686,3,1,1,10406.0,55846.0
C0100213,Katherine Salas,55-64,7,OH,735,1,0,0,1217.0,120962.0
C0100214,Julie Alexander,55-64,4,MA,710,1,0,0,1536.0,91221.0
C0100215,Anthony Everett,55-64,19,NY,712,3,1,1,15853.0,201238.0
C0100216,Rodney Morales,25-34,10,AZ,784,3,1,1,7429.0,133015.0
C0100217,Mark Brown,25-34,18,OH,716,1,0,0,2706.0,55475.0
C0100218,Justin Torres,65+,6,AZ,703,2,1,0,5511.0,100099.0
C0100219,Bailey Duran DDS,35-44,8,WA,707,1,0,0,65238.0,47999.0
C0100220,Courtney Mills,35-44,7,WA,697,1,0,0,37725.0,65760.0
C0100221,Jeremy Dalton,45-54,8,NY,689,1,0,0,7123.0,28354.0
C0100222,Elizabeth Oliver DDS,45-54,9,VA,697,3,1,1,21578.0,83126.0
C0100223,Theresa Clark,65+,6,IL,794,2,1,0,9369.0,336619.0
C0100224,Matthew Moore,35-44,17,AZ,752,2,1,0,964.0,197893.0
C0100225,Benjamin Smith,65+,7,MA,704,1,0,0,778.0,106468.0
C0100226,Kirk Carter,25-34,9,MI,764,1,0,0,2721.0,287540.0
C0100227,Michael Warner,45-54,18,AZ,648,1,0,0,1223.0,66032.0
C0100228,Michael Bradshaw,45-54,9,GA,781,2,1,0,11225.0,116730.0
C0100229,Lori Guerrero,25-34,1,CA,778,3,1,1,4188.0,177383.0
C0100230,Jessica Stephens,25-34,1,AZ,820,3,1,1,13499.0,73964.0
C0100231,Susan Serrano,35-44,9,GA,765,1,0,0,13751.0,158248.0
C0100232,Christopher Parker,65+,13,CA,739,1,0,0,18546.0,160893.0
C0100233,Laura Roberts,45-54,19,CA,778,1,0,0,2652.0,165380.0
C0100234,Michael Lyons,65+,3,NJ,691,3,1,1,15045.0,337755.0
C0100235,Kathryn Snyder,55-64,11,AZ,702,2,1,0,2575.0,144646.0
C0100236,Andrew Reynolds,45-54,6,NJ,717,3,1,1,19027.0,142413.0
C0100237,David Davis,55-64,10,OH,781,2,1,0,35143.0,56298.0
C0100238,Sara Johnston,25-34,9,PA,681,2,1,0,19299.0,139202.0
C0100239,Yvonne Chambers,25-34,7,OH,676,2,1,0,6552.0,47983.0
C0100240,Andrew Avila,55-64,1,PA,730,2,1,0,15996.0,56801.0
C0100241,Matthew Moon,55-64,2,PA,752,2,1,0,1287.0,94405.0
C0100242,Kevin Walters,35-44,11,TX,688,1,0,0,982.0,75928.0
C0100243,Brandon Bailey MD,45-54,5,NC,750,2,1,0,14188.0,65241.0
C0100244,Shannon Rivera,45-54,7,NY,781,4,1,1,38921.0,125028.0
C0100245,Donna Landry,55-64,2,FL,774,1,0,0,1849.0,76144.0
C0100246,Krista Gibson,45-54,1,PA,735,3,1,1,8252.0,51217.0
C0100247,Frank Cordova,35-44,3,VA,715,4,1,1,13720.0,102926.0
C0100248,Jose Travis,35-44,8,NC,798,2,1,0,3876.0,140052.0
C0100249,Kimberly Gutierrez,35-44,4,GA,720,2,1,0,5392.0,84945.0
C0100250,Isaiah Avila,45-54,5,NC,762,1,0,0,16914.0,134413.0
C0100251,Olivia Harris,55-64,7,NC,808,3,1,1,9226.0,96072.0
C0100252,Tanya Kim,45-54,6,GA,757,4,1,1,9275.0,77981.0
C0100253,Barbara Dudley,35-44,1,WA,675,4,1,1,2493.0,154914.0
C0100254,Cynthia Moore,35-44,3,NJ,664,1,0,0,7806.0,91501.0
C0100255,Kristen Davis,55-64,20,FL,706,4,1,1,5027.0,147983.0
C0100256,Susan Murray MD,55-64,14,WA,751,2,1,0,5360.0,54216.0
C0100257,Kathleen Moran,25-34,3,FL,740,2,1,0,4232.0,149221.0
C0100258,Denise Davenport,25-34,6,TX,819,1,0,0,7842.0,159321.0
C0100259,Mrs. Kristen Reyes,45-54,8,OH,739,1,0,0,2859.0,155869.0
C0100260,Katie Suarez,25-34,19,IL,705,2,1,0,8221.0,220126.0
C0100261,Desiree Tyler,55-64,18,VA,668,2,1,0,5229.0,178495.0
C0100262,Timothy Romero,35-44,16,NJ,773,4,1,1,2648.0,129945.0
C0100263,Diane Evans,25-34,3,CA,719,1,0,0,782.0,173532.0
C0100264,Yvonne Burns,65+,10,GA,652,3,1,1,25260.0,48051.0
C0100265,Joshua Reed,35-44,10,VA,721,2,1,0,19842.0,163240.0
C0100266,Kimberly Gibson,35-44,13,NJ,675,1,0,0,3085.0,109759.0
C0100267,Colin Terry,35-44,17,GA,700,1,0,0,18361.0,319030.0
C0100268,Cynthia Rowe,25-34,7,MI,720,3,1,1,2369.0,150567.0
C0100269,Patrick Thornton,25-34,12,NC,679,3,1,1,5605.0,65186.0
C0100270,Jasmin Alvarado,25-34,6,NY,698,1,0,0,4288.0,45229.0
C0100271,Veronica Simpson,35-44,5,NC,686,2,1,0,5807.0,77280.0
C0100272,Jonathan Lawrence,25-34,7,NJ,687,2,1,0,17596.0,174973.0
C0100273,Shelly Alexander,45-54,15,CA,674,2,1,0,5003.0,165959.0
C0100274,Joyce Bowen,45-54,9,NJ,698,2,1,0,5391.0,80730.0
C0100275,Matthew Moore,35-44,14,NY,679,3,1,1,19769.0,69040.0
C0100276,Wayne Morgan,35-44,14,CA,746,1,0,0,8726.0,133997.0
C0100277,Marie Christian,45-54,8,VA,729,1,0,0,3983.0,71670.0
C0100278,Shannon James,55-64,20,IL,773,1,0,0,10816.0,73752.0
C0100279,Nathan Malone,55-64,1,OH,804,4,1,1,26667.0,46446.0
C0100280,Amanda Jones,25-34,18,MI,750,2,1,0,28770.0,156880.0
C0100281,Tammie Bright,35-44,1,NC,740,1,0,0,1653.0,53841.0
C0100282,Jessica Garcia,35-44,8,MI,753,3,1,1,1756.0,89111.0
C0100283,Shelia Wallace,35-44,17,MA,740,2,1,0,26874.0,430059.0
C0100284,Stephanie Williams,45-54,14,MI,722,2,1,0,5739.0,115361.0
C0100285,Elaine Brooks,35-44,7,CA,718,1,0,0,578.0,258697.0
C0100286,Joseph Knight,25-34,18,NY,674,3,1,1,3375.0,132847.0
C0100287,Carolyn Miller,35-44,3,OH,757,3,1,1,4785.0,65046.0
C0100288,Lisa Allen,45-54,14,GA,718,1,0,0,5569.0,101921.0
C0100289,Briana Murray,25-34,11,IL,785,1,0,0,20291.0,36581.0
C0100290,David Smith,55-64,5,FL,761,1,0,0,2657.0,102129.0
C0100291,Stephanie Byrd,25-34,19,TX,691,2,1,0,24900.0,108317.0
C0100292,Jeremy Reed,65+,16,FL,776,1,0,0,11409.0,122473.0
C0100293,Margaret Coleman,25-34,1,MA,604,1,0,0,1730.0,177761.0
C0100294,Ryan Gonzalez,55-64,2,IL,806,2,1,0,5523.0,256894.0
C0100295,John Young,65+,2,MA,659,4,1,1,14671.0,120123.0
C0100296,Laura Haney,65+,9,IL,742,2,1,0,8497.0,73727.0
C0100297,William Barrett,55-64,9,PA,739,2,1,0,12769.0,120683.0
C0100298,Keith Jennings,55-64,15,GA,770,2,1,0,4004.0,184677.0
C0100299,Amber Obrien,45-54,14,MA,705,3,1,1,15768.0,104794.0
C0100300,Tanner Mitchell DDS,55-64,1,NC,623,3,1,1,5023.0,78670.0
C0100301,Heather Fields,25-34,10,CA,705,4,1,1,172026.0,165882.0
C0100302,Megan Le,45-54,16,PA,710,2,1,0,1663.0,74928.0
C0100303,Sara Fuller,45-54,18,MA,627,2,1,0,206394.0,35693.0
C0100304,Maria Parker,55-64,6,FL,722,1,0,0,2588.0,159826.0
C0100305,Kevin Oconnor,45-54,1,WA,671,3,1,1,37252.0,32825.0
C0100306,Edward Burgess,35-44,4,AZ,749,2,1,0,21871.0,110181.0
C0100307,Carlos Ryan,45-54,7,NY,708,2,1,0,2720.0,112810.0
C0100308,Kiara Mcintyre,35-44,9,NC,808,2,1,0,16637.0,135913.0
C0100309,Dawn Summers,25-34,8,NC,708,1,0,0,4469.0,70784.0
C0100310,Dr. Paul Morgan,45-54,2,VA,739,2,1,0,11269.0,165758.0
C0100311,Victor Taylor,35-44,7,VA,710,1,0,0,9676.0,84354.0
C0100312,Shannon Ramsey,35-44,6,CA,646,1,0,0,5329.0,79801.0
C0100313,Tracy Ballard,35-44,10,PA,710,1,0,0,4823.0,33212.0
C0100314,Richard Smith,35-44,2,MA,753,1,0,0,12198.0,45717.0
C0100315,Jordan Chambers,35-44,16,IL,747,1,0,0,2739.0,175895.0
C0100316,Lauren Carson,35-44,9,NY,706,3,1,1,2866.0,52078.0
C0100317,Ashley Hall,45-54,7,MI,654,2,1,0,25488.0,64453.0
C0100318,Stephen Hoffman,35-44,19,FL,749,2,1,0,13549.0,58595.0
C0100319,Connie Brown,65+,15,FL,738,2,1,0,1689.0,59482.0
C0100320,Susan Turner,65+,3,VA,757,3,1,1,2431.0,59704.0
C0100321,Charles Shah,45-54,3,TX,707,3,1,1,624.0,176301.0
C0100322,Johnathan Davis,35-44,1,AZ,644,2,1,0,24140.0,100788.0
C0100323,Brandy Chavez,45-54,12,NY,744,2,1,0,18514.0,79050.0
C0100324,Natalie Bautista,55-64,8,TX,719,3,1,1,2194.0,48499.0
C0100325,Patrick Moore,45-54,8,VA,782,3,1,1,17669.0,93888.0
C0100326,Brett Burns,55-64,11,FL,721,1,0,0,87781.0,326336.0
C0100327,Trevor Johnson,45-54,11,IL,717,2,1,0,1278.0,69168.0
C0100328,Jeremy Sampson,45-54,1,IL,738,1,0,0,3873.0,85845.0
C0100329,Ariana Jennings,35-44,3,GA,693,3,1,1,1245.0,102745.0
C0100330,Vanessa Howard,55-64,16,GA,690,2,1,0,25292.0,188621.0
C0100331,Colton Martinez,35-44,20,FL,715,4,1,1,7221.0,82334.0
C0100332,Jordan Bates,45-54,17,NY,678,1,0,0,5025.0,104320.0
C0100333,Linda Smith,55-64,19,FL,709,2,1,0,10646.0,120604.0
C0100334,Dana Martinez,25-34,10,CA,807,3,1,1,4153.0,87725.0
C0100335,Andrea Hubbard,45-54,17,MI,766,3,1,1,5004.0,113448.0
C0100336,Daniel Kane,25-34,18,GA,733,3,1,1,11268.0,74136.0
C0100337,Charles Lester,55-64,18,TX,789,1,0,0,3897.0,130348.0
C0100338,Scott Thomas,25-34,3,PA,682,4,1,1,4616.0,144084.0
C0100339,David Thompson,65+,3,NJ,820,4,1,1,6716.0,270367.0
C0100340,Allison Smith,25-34,9,PA,699,4,1,1,9042.0,113249.0
C0100341,Cynthia Morris,65+,11,OH,810,2,1,0,16680.0,333793.0
C0100342,Anthony Harmon,55-64,20,VA,809,3,1,1,16316.0,114603.0
